bicameral,bicameral,,
to-be,to-be,,
Baghdad,Baghdad,,
Kleinian,Kleinian,,
cuspidal,cuspidal,,
correspond,correspond,,
manifold,manifold,,
invariant,invariant,,
conformal,conformal,,
boundaries,boundaries,,
controlled,controlled,,
ergodic,ergodic,,
ergodicity,ergodicity,,
injective,injective,,
Laplacian,Laplacian,,
eigenvalues,eigenvalues,,
geodesic,geodesic,,
beneficence,beneficence,,
preestablished,preestablished,,
committee,committee,,
posterity,posterity,,
aural,aural,,
estival,estival,,
alfresco,alfresco,,
alack,alack,,
flatus,flatus,,
munificent,munificent,,
Kalamazoo,Kalamazoo,,
crullers,crullers,,
aurum,aurum,,
sedulous,sedulous,,
hymnal,hymnal,,
soiree,soiree,,
giblets,giblets,,
gibbets,gibbets,,
multi-million,multimillion,,
multimillion,multimillion,,
Bible,bible,,
bible,bible,,
minimis,minimis,,
Gallic,Gallic,,
brickbat,brickbat,,
outre,outre,,
matinee,matinee,,
statuary,statuary,,
equable,equable,,
billow,billow,,
bivouacs,bivouacs,,
sempiternal,sempiternal,,
cudgel,cudgel,,
non-fiction,nonfiction,,
non-essential,nonessential,,
nonessential,nonessential,,
umbrageous,umbrageous,,
rampageous,rampageous,,
laudatory,laudatory,,
vainglory,vainglory,,
exophthalmic,exophthalmic,,
de Gaulle,de Gaulle,,
trowel,trowel,,
assiduity,assiduity,,
curtsy,curtsy,,
minuet,minuet,,
chiaroscuro,chiaroscuro,,
anomie,anomie,,
demurs,demurs,,
doggerel,doggerel,,
askance,askance,,
bouillabaisse,bouillabaisse,,
self-contradictory,self-contradictory,,
agog,agog,,
castanet,castanet,,
aftereffects,aftereffects,,
unchivalrous,unchivalrous,,
perquisites,perquisites,,
propitious,propitious,,
unpropitious,unpropitious,,
Clement,clement,,
riverbanks,riverbanks,,
roadblock,roadblock,,
minutemen,minutemen,,
Sycamore,sycamore,,
humph,humph,,
aortal,aortal,,
deathbed,deathbed,,
officialese,officialese,,
nevermore,nevermore,,
capacious,capacious,,
tiptoes,tiptoes,,
twelfth,twelfth,,
sightseeing,sightseeing,,
nonfiction,nonfiction,,
playwriting,playwriting,,
irreverent,irreverent,,
midwinter,midwinter,,
mid-afternoon,midafternoon,,
midafternoon,midafternoon,,
hoarfrost,hoarfrost,,
outstare,outstare,,
out-stare,outstare,,
telltale,telltale,,
oarsmen,oarsmen,,
rewoven,rewoven,,
woof,woof,,
pratfall,pratfall,,
Orestes,Orestes,,
Schenectady,Schenectady,,
dogcatcher,dogcatcher,,
Automat,Automat,,
mid-air,midair,,
midair,midair,,
muscatel,muscatel,,
breadboard,breadboard,,
coast-line,coastline,,
coastline,coastline,,
teemed,teemed,,
pantheist,pantheist,,
Puritan,puritan,,
canoeists,canoeists,,
purslane,purslane,,
stolid,stolid,,
plainsong,plainsong,,
bouyance,buoyance,,
buoyance,buoyance,,
nitty-gritty,nitty-gritty,,
double-space,double-space,,
pro-actively,proactively,,
proactively,proactively,,
greenwashing,greenwashing,,
unexecuted,unexecuted,,
start-up,start-up,,
non-expert,nonexpert,,
nonexpert,nonexpert,,
foveation,foveation,,
LiDAR,lidar,,
Doppler,Doppler,,
readout,readout,,
trade off,trade-off,,
trade-off,trade-off,,
nonuniformity,nonuniformity,,
circuitry,circuitry,,
Kelvin,kelvin,,
identification,identification,,
nonlinearities,nonlinearities,,
Nasa,NASA,,
resonator,resonator,,
soliton,soliton,,
hyper-plane,hyperplane,,
panchromatic,panchromatic,,
pre-existing,preexisting,,
parameterization,parameterization,,
time-consuming,time-consuming,,
neurophysiology,neurophysiology,,
heart-breaking,heartbreaking,,
heartbreaking,heartbreaking,,
broken-hearted,brokenhearted,,
brokenhearted,brokenhearted,,
Jungian,Jungian,,
pre-training,pretrain,,
pretraining,pretraining,,
oxytocin,oxytocin,,
glial,glial,,
pre-work,prework,,
prework,prework,,
hypnogogic,hypnogogic,,
hypnagogic,hypnagogic,,
hypnopompic,hypnopompic,,
non-conscious,nonconscious,,
nonconscious,nonconscious,,
policymakers,policymakers,,
op-ed,op-ed,,
reelected,reelected,,
allegiant,allegiant,,
cherry-picked,cherry-pick,,
cloture,cloture,,
semi-annual,semiannual,,
non-profit,nonprofit,,
coresearchers,coresearchers,,
self-determination,self-determination,,
non-disabled,nondisabled,,
nondisabled,nondisabled,,
roundtables,roundtables,,
anti-tumor,antitumor,,
antitumor,antitumor,,
extravasation,extravasation,,
lineup,lineup,,
hyperpituitarism,hyperpituitarism,,
hypopituitarism,hypopituitarism,,
non-cancerous,noncancerous,,
noncancerous,noncancerous,,
epiphyses,epiphyses,,
osteophytes,osteophytes,,
amenorrhea,amenorrhea,,
thyroxine,thyroxine,,
hyperthyroidism,hyperthyroidism,,
anti-thyroid,antithyroid,,
antithyroid,antithyroid,,
iodine,iodine,,
hypocalcemia,hypocalcemia,,
tetany,tetany,,
idiopathic,idiopathic,,
hypercortisolism,hypercortisolism,,
truncal,truncal,,
menarche,menarche,,
reimagine,reimagine,,
frontrunner,front-runner,,
front-runner,front-runner,,
co-conspirator,coconspirator,,
Slowdown,slowdown,,
noticeable,noticeable,,
counter-offensive,counteroffensive,,
disbursed,disbursed,,
non-classical,nonclassical,,
nonclassical,nonclassical,,
grift,grift,,
reemphasized,reemphasized,,
CD-ROM,CD-ROM,,
edutainment,edutainment,,
non-human,nonhuman,,
nonhuman,nonhuman,,
Zeppelin,zeppelin,,
sociality,sociality,,
multi-institutional,multi-institutional,,
non-educational,noneducational,,
noneducational,noneducational,,
microelectrode,microelectrode,,
multifunctional,multifunctional,,
pre-frontal,prefrontal,,
prefrontal,prefrontal,,
ankle-deep,ankle-deep,,
dysdiadochokinesia,dysdiadochokinesia,,
fontanelles,fontanelles,,
supratentorial,supratentorial,,
vermis,vermis,,
clipboard,clipboard,Merriam-Webster,automatic
clip board,clipboard,Merriam-Webster,automatic
clipboard,,Merriam-Webster,test! 
apple,apple,Merriam-Webster,test! 
thirteen,thirteen,Merriam-Webster,automatic
false,false,www.merriam-webster.com,automatic
thirteen,thirteen,en.wiktionary.org,automatic
thirteen,13,en.wikipedia.org,automatic
